id,prompt,target,priority_score
31,Complete with one word only: The official capital city of Nigeria is,Abuja,5.261305901883743
25,Complete with one word only: The official capital city of Belgium is,Brussels,5.175418646914787
26,Complete with one word only: The official capital city of Austria is,Vienna,5.174300354249124
21,Complete with one word only: The official capital city of Vietnam is,Hanoi,5.115295552097454
64,"Complete with one word only: A sequential queue data structure operates on the first-in first-out principle, or",FIFO,5.0818403509405625
11,Complete with one word only: The official capital city of India is,Delhi,4.994491508654996
14,Complete with one word only: The official capital city of Brazil is,Brasilia,4.968739756743769
10,Complete with one word only: The official capital city of Russia is,Moscow,4.887872152024891
80,Complete with one word only: The computational scale measuring worst-case algorithm complexity is Big O,Notation,4.880762230278155
34,Complete with one word only: The official capital city of Saudi Arabia is,Riyadh,4.78253704827574
36,Complete with one word only: The official capital city of Netherlands is,Amsterdam,4.7282008465729515
65,"Complete with one word only: A sequential stack data structure operates on the last-in first-out principle, or",LIFO,4.661969795420835
41,Complete with one word only: The element with atomic number 1 is,Hydrogen,4.60441830842551
9,Complete with one word only: The official capital city of Portugal is,Lisbon,4.601545800773906
4,Complete with one word only: The official capital city of Spain is,Madrid,4.5775606720890165
8,Complete with one word only: The official capital city of Greece is,Athens,4.543954504007312
35,Complete with one word only: The official capital city of Ukraine is,Kyiv,4.496314616038069
18,Complete with one word only: The official capital city of Sweden is,Stockholm,4.447016159935935
27,Complete with one word only: The official capital city of Poland is,Warsaw,4.393318982613525
32,Complete with one word only: The official capital city of South Africa is,Pretoria,4.364023127039276
24,Complete with one word only: The official capital city of Colombia is,Bogota,4.326926882841272
6,Complete with one word only: The official capital city of China is,Beijing,4.318109277010078
13,Complete with one word only: The official capital city of Canada is,Ottawa,4.307603374970043
19,Complete with one word only: The official capital city of Turkey is,Ankara,4.241321398331301
46,Complete with one word only: Water is chemically composed of oxygen and,Hydrogen,3.9459321199962982
40,Complete with one word only: The official capital city of Indonesia is,Jakarta,3.874882793995526
20,Complete with one word only: The official capital city of Thailand is,Bangkok,3.873306947465272
5,Complete with one word only: The official capital city of Japan is,Tokyo,3.6324231916134573
29,Complete with one word only: The official capital city of Ireland is,Dublin,3.6103021425430137
16,Complete with one word only: The official capital city of Argentina is,Buenos Aires,3.384587719079951
