sample_id,prompt,target,curriculum_score,pcrf_weight,criticality_weight,combined_weight,sampling_bucket
64,"Complete with one word only: A sequential queue data structure operates on the first-in first-out principle, or",FIFO,0.008209,0.092411,1.0,0.000759,MID_PRIORITY
21,Complete with one word only: The official capital city of Vietnam is,Hanoi,0.008208,0.092411,1.0,0.000759,MID_PRIORITY
11,Complete with one word only: The official capital city of India is,Delhi,0.008063,0.092411,4.0,0.002980,MID_PRIORITY
14,Complete with one word only: The official capital city of Brazil is,Brasilia,0.008028,0.092411,1.0,0.000742,MID_PRIORITY
10,Complete with one word only: The official capital city of Russia is,Moscow,0.007875,0.092411,1.0,0.000728,MID_PRIORITY
80,Complete with one word only: The computational scale measuring worst-case algorithm complexity is Big O,Notation,0.007837,0.092411,1.0,0.000724,MID_PRIORITY
34,Complete with one word only: The official capital city of Saudi Arabia is,Riyadh,0.007768,0.092411,1.0,0.000718,MID_PRIORITY
65,"Complete with one word only: A sequential stack data structure operates on the last-in first-out principle, or",LIFO,0.007573,0.092411,1.0,0.000700,LOW_PRIORITY
36,Complete with one word only: The official capital city of Netherlands is,Amsterdam,0.007535,0.092411,1.0,0.000696,LOW_PRIORITY
9,Complete with one word only: The official capital city of Portugal is,Lisbon,0.007443,0.092411,1.0,0.000688,LOW_PRIORITY
4,Complete with one word only: The official capital city of Spain is,Madrid,0.007409,0.092411,1.0,0.000685,LOW_PRIORITY
41,Complete with one word only: The element with atomic number 1 is,Hydrogen,0.007387,0.092411,1.0,0.000683,LOW_PRIORITY
8,Complete with one word only: The official capital city of Greece is,Athens,0.007290,0.092411,1.0,0.000674,LOW_PRIORITY
35,Complete with one word only: The official capital city of Ukraine is,Kyiv,0.007243,0.092411,1.0,0.000669,LOW_PRIORITY
18,Complete with one word only: The official capital city of Sweden is,Stockholm,0.007122,0.092411,1.0,0.000658,LOW_PRIORITY
27,Complete with one word only: The official capital city of Poland is,Warsaw,0.007026,0.092411,1.0,0.000649,LOW_PRIORITY
32,Complete with one word only: The official capital city of South Africa is,Pretoria,0.007007,0.092411,1.0,0.000648,LOW_PRIORITY
6,Complete with one word only: The official capital city of China is,Beijing,0.006969,0.092411,4.0,0.002576,LOW_PRIORITY
24,Complete with one word only: The official capital city of Colombia is,Bogota,0.006948,0.092411,1.0,0.000642,LOW_PRIORITY
13,Complete with one word only: The official capital city of Canada is,Ottawa,0.006925,0.092411,1.0,0.000640,LOW_PRIORITY
19,Complete with one word only: The official capital city of Turkey is,Ankara,0.006865,0.092411,1.0,0.000634,LOW_PRIORITY
46,Complete with one word only: Water is chemically composed of oxygen and,Hydrogen,0.006378,0.092411,1.0,0.000589,LOW_PRIORITY
20,Complete with one word only: The official capital city of Thailand is,Bangkok,0.006243,0.092411,1.0,0.000577,LOW_PRIORITY
40,Complete with one word only: The official capital city of Indonesia is,Jakarta,0.006231,0.092411,1.0,0.000576,LOW_PRIORITY
5,Complete with one word only: The official capital city of Japan is,Tokyo,0.005846,0.092411,4.0,0.002161,LOW_PRIORITY
29,Complete with one word only: The official capital city of Ireland is,Dublin,0.005798,0.092411,1.0,0.000536,LOW_PRIORITY
16,Complete with one word only: The official capital city of Argentina is,Buenos Aires,0.005484,0.092411,1.0,0.000507,LOW_PRIORITY
